post_id,title,category,score,num_comments,author,collected_at,engagement
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-07 17:00:09,142
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,37,7,j0rg3,2026-04-07 17:00:13,44
47668437,Former CIA director: 'Russia no longer has the upper hand' in Ukraine war,worldnews,9,1,doener,2026-04-07 17:00:14,10
47673541,LLM may be standardizing human expression – and subtly influencing how we think,sports,71,57,giuliomagnifico,2026-04-07 17:00:19,128
47672778,Breaking the console: a brief history of video game security,sports,39,5,sprado,2026-04-07 17:00:30,44
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,505,146,akyuu,2026-04-07 17:01:06,651
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,143,224,tantalor,2026-04-07 17:01:08,367
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,294,186,keepamovin,2026-04-07 17:01:31,480
47637377,LÖVE: 2D Game Framework for Lua,sports,407,213,cl3misch,2026-04-07 17:01:55,620
47640728,Show HN: A game where you build a GPU,sports,951,185,Jaso1024,2026-04-07 17:02:02,1136
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,6,1,naorz,2026-04-07 17:02:58,7
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,221,145,pseudolus,2026-04-07 17:04:48,366
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,783,367,hkmaxpro,2026-04-07 17:05:02,1150
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-07 17:05:37,28
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 17:05:57,125
47641615,Sopwith – 1984 Game (2000),sports,98,42,elvis70,2026-04-07 17:06:55,140
47654629,The Harvard Library Passport,sports,4,0,fi-le,2026-04-07 17:08:00,4
47653642,Binary obfuscation used in AAA Games,sports,3,0,noztol,2026-04-07 17:08:13,3
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-07 17:08:49,7
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,14,0,ryan_j_naughton,2026-04-07 17:09:21,14
47642552,Nandgame – Build a Computer from Scratch,sports,8,0,Vortigaunt,2026-04-07 17:09:50,8
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-07 17:10:12,39
47627217,Running Out of Disk Space in Production,science,42,13,romes,2026-04-07 17:11:04,55
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,51,0,tosh,2026-04-07 17:11:53,51
47650502,Computational Physics (2nd Edition) (2025),science,182,22,teleforce,2026-04-07 17:32:07,204
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-07 17:34:00,180
47648404,My Google Workspace account suspension,science,368,217,zenincognito,2026-04-07 18:04:21,585
47629485,A case study in testing with 100+ Claude agents in parallel,science,66,54,thejash,2026-04-07 18:04:59,120
47669604,"Astronauts Dedicate Moon Crater to Carroll Wiseman, Wife of NASA Commander",science,4,0,shpat,2026-04-07 18:06:10,4
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-07 18:07:18,34
47663650,NASA's Artemis II Crew Flies Around the Moon (Official Broadcast) [video],science,6,1,gwbas1c,2026-04-07 18:09:47,7
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,99,43,Bender,2026-04-07 18:10:10,142
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-07 18:10:39,46
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-07 18:10:44,36
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,148,61,sam-bee,2026-04-07 18:12:42,209
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,47,6,intofarlands,2026-04-07 18:12:44,53
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,112,102,Zm44,2026-04-07 18:12:48,214
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,41,8,Sean-Der,2026-04-07 18:12:51,49
47672778,Breaking the console: a brief history of video game security,entertainment,47,7,sprado,2026-04-07 18:12:55,54
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,419,187,MattHart88,2026-04-07 18:12:59,606
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,25,16,fsloth,2026-04-07 18:13:12,41
47662945,Show HN: GovAuctions lets you browse government auctions at once,entertainment,296,84,player_piano,2026-04-07 18:13:18,380
47660853,Book review: There Is No Antimemetics Division,entertainment,273,203,ibobev,2026-04-07 18:13:24,476
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,96,26,noone_youknow,2026-04-07 18:13:29,122
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",entertainment,113,23,kitfunso,2026-04-07 18:13:32,136
47637828,Show HN: Tusk for macOS and Gnome,entertainment,108,36,factorialboy,2026-04-07 18:13:40,144
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",entertainment,510,151,akyuu,2026-04-07 18:13:42,661
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,59,12,4RH1T3CT0R,2026-04-07 18:13:51,71
47655408,Show HN: I built a tiny LLM to demystify how language models work,entertainment,881,130,armanified,2026-04-07 18:14:03,1011
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",entertainment,276,35,karimf,2026-04-07 18:14:14,311
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,entertainment,295,187,keepamovin,2026-04-07 18:14:16,482
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",entertainment,152,21,ikessler,2026-04-07 18:14:20,173
47662429,Show HN: Weird Clocks,entertainment,46,13,vunderba,2026-04-07 18:14:24,59
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,315,198,nevernothing,2026-04-07 18:14:36,513
47637377,LÖVE: 2D Game Framework for Lua,entertainment,409,214,cl3misch,2026-04-07 18:14:45,623
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,22,mohshomis,2026-04-07 18:14:51,120
47640728,Show HN: A game where you build a GPU,entertainment,951,185,Jaso1024,2026-04-07 18:14:53,1136
47652322,Music for Programming,entertainment,344,170,merusame,2026-04-07 18:14:57,514
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,26,8,edumucelli,2026-04-07 18:14:59,34
